Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Wola,Gimnazjum nr 47 z Oddziałami Dwujęzycznymi im. Marszałka Józefa Piłsudskiego,Gimnazjum nr 47 z Oddziałami Dwujęzycznymi im. Marszałka Józefa Piłsudskiego,ul. Grenady 16 Warszawa,Bożena Jarzyna-Kekusz,226321460,przeglądaj
Wola,Gimnazjum nr 48 im. Jana Pawła II,Gimnazjum nr 48 im. Jana Pawła II,ul. Deotymy 25/33 Warszawa,Marzena Małaszkiewicz,228360341,przeglądaj
Wola,Gimnazjum nr 49 z Oddziałami Dwujęzycznymi im. Stefana Starzyńskiego,Gimnazjum nr 49 z Oddziałami Dwujęzycznymi im. Stefana Starzyńskiego,ul. Smocza 19 Warszawa,Elżbieta Milewska,228381105,przeglądaj
Mokotów,Gimnazjum nr 5 im. Tadeusza Kościuszki,Gimnazjum nr 5 im. Tadeusza Kościuszki,Aleja Niepodległości 27 Warszawa,Andrzej Kostecki,228430524,przeglądaj
Wola,Gimnazjum nr 51 im. Bolesława Prusa,Zespół Szkół nr 122,ul. Jana Olbrachta 48/56 Warszawa,Małgorzata Kuna,228366418,przeglądaj
Żoliborz,Gimnazjum nr 54 im. Adama Kazimierza ks. Czartoryskiego,Zespół Szkół nr 54,ul. Elbląska 51 Warszawa,Beata Zdanowicz,226332405,przeglądaj
Żoliborz,"Gimnazjum nr 55 z Oddziałami Integracyjnymi im. Jana Bytnara ps. ""Rudy""","Gimnazjum nr 55 z Oddziałami Integracyjnymi im. Jana Bytnara ps. ""Rudy""",Aleja Wojska Polskiego 1a Warszawa,Renata Kozłowska,228390745,przeglądaj
Żoliborz,"Gimnazjum nr 56 im. Macieja Aleksego Dawidowskiego ps. ""Alek""","Gimnazjum nr 56 im. Macieja Aleksego Dawidowskiego ps. ""Alek""",ul. Filarecka 2 Warszawa,Lidia Więckowska,228397963,przeglądaj
Praga Północ,Gimnazjum nr 58 z Oddziałami Dwujęzycznymi im. Władysława IV,Zespół Szkół nr 15,ul. Jagiellońska 38 Warszawa,Grażyna Filipiak,226192745,przeglądaj
Mokotów,"Gimnazjum nr 6 im. Pułku Armii Krajowej ""Baszta""","Gimnazjum nr 6 im. Pułku Armii Krajowej ""Baszta""",ul. Piotra Gruszczyńskiego 12 Warszawa,Ewa Gűrtler-Wójcik,228432301,przeglądaj
Mokotów,"Gimnazjum nr 7 z Oddziałami Integracyjnymi ""Przy Łazienkach Królewskich""","Gimnazjum nr 7 z Oddziałami Integracyjnymi ""Przy Łazienkach Królewskich""",ul. Podchorążych 49/61 Warszawa,Małgorzata Kułaczkowska,228417161,przeglądaj
Bielany,Gimnazjum nr 71 im. Krzysztofa Kamila Baczyńskiego,Zespół Szkół nr 119,ul. Bogumiła Zuga 16 Warszawa,Paweł Gmitrzuk,228346033,przeglądaj
Bielany,Gimnazjum nr 73 im. Jerzego Huberta Wagnera,Zespół Szkół nr 124,ul. Josepha Conrada 6 Warszawa,Monika Grabowska,226697581,przeglądaj
Bielany,Gimnazjum nr 74 im. Wojciecha Górskiego,Zespół Szkół nr 49,ul. Lwa Tołstoja 2 Warszawa,Urszula Krajewska,228359558,przeglądaj
Bielany,Gimnazjum nr 75 z Oddziałami Integracyjnymi im. Aleksandra Fredry,Gimnazjum nr 75 z Oddziałami Integracyjnymi im. Aleksandra Fredry,ul. Wrzeciono 24 Warszawa,Marta Butryn,228351750,przeglądaj
Bielany,Gimnazjum nr 76 z Oddziałami Integracyjnymi im. gen. Stanisława Maczka,Zespół Szkół nr 55 im. gen. Stanisława Maczka,ul. Gwiaździsta 35 Warszawa,Anna Pawłowska,228330258,przeglądaj
Bielany,Gimnazjum nr 77 im. Ignacego Domeyki,Zespół Szkół nr 51,ul. Leopolda Staffa 3/5 Warszawa,Włodzimierz Sacewicz,228640891,przeglądaj
Bielany,Gimnazjum nr 78 im. Powstańców Wielkopolskich,Zespół Szkół nr 52,ul. Szegedyńska 11 Warszawa,Jan Orłowski,228345423,przeglądaj
Bemowo,Gimnazjum nr 81 im. prof. Witolda Doroszewskiego,Gimnazjum nr 81 im. prof. Witolda Doroszewskiego,ul. Rozłogi 10 Warszawa,Mariola Moczoń,226665346,przeglądaj
Bemowo,Gimnazjum nr 85,Zespół Szkół nr 48 im. Armii Krajowej,ul. Karola Irzykowskiego 1a Warszawa,Rafał Lisowski,226646193,przeglądaj
Bemowo,Gimnazjum nr 86 im. płk Ignacego Augusta Boernera,Zespół Szkół nr 46,ul. gen. Wiktora Thomméego 1 Warszawa,Grażyna Żółtowska,226669404,przeglądaj
Mokotów,Gimnazjum nr 9 z Oddziałami Integracyjnymi im. Sandro Pertiniego,Zespół Szkół nr 59,ul. Jana III Sobieskiego 68 Warszawa,Ewa Kacprzyk,228424792,przeglądaj
Ursynów,Gimnazjum nr 91 im. Stanisława Staszica,Gimnazjum nr 91 im. Stanisława Staszica,ul. Kajakowa 10 Warszawa,Marek Niegowski,226448461,przeglądaj
Ursynów,Gimnazjum nr 92 im. Juliana Ursyna Niemcewicza,Gimnazjum nr 92 im. Juliana Ursyna Niemcewicza,ul. Koncertowa 4 Warszawa,Mariusz Karczewski,226436534,przeglądaj
Ursynów,Gimnazjum nr 94 im. Cichociemnych Spadochroniarzy Armii Krajowej,Gimnazjum nr 94 im. Cichociemnych Spadochroniarzy Armii Krajowej,ul. Na Uboczu 9 Warszawa,Marta Żebrowska-Puchalska,226493736,przeglądaj
Ursynów,Gimnazjum nr 96 im. Krystyny Krahelskiej,Gimnazjum nr 96 im. Krystyny Krahelskiej,ul. Wokalna 1 Warszawa,Elżbieta Ensztein,226434797,przeglądaj
Praga Południe,Gimnazjum Specjalne nr 100,Zespół Szkół Specjalnych nr 91,ul. Weterynaryjna 3 Warszawa,Beata Domańska,228100782,przeglądaj
Targówek,Gimnazjum Specjalne nr 104 im. Małego Powstańca,Zespół Szkół Specjalnych nr 98,ul. Bartnicza 2 Warszawa,Maria Walczak,228110306,przeglądaj
Wawer,Gimnazjum Specjalne nr 107,Zespół Szkół Specjalnych nr 102,ul. Przedwiośnie 1 Warszawa,Jolanta Marszycka-Suchecka,226130638,przeglądaj
Wawer,"Gimnazjum Specjalne nr 108 w Instytucie ""Pomnik - Centrum Zdrowia Dziecka""","Zespół Szkół Specjalnych nr 78 im. Ewy Szelburg-Zarembiny w Instytucie ""Pomnik Centrum Zdrowia Dziecka""",Aleja Dzieci Polskich 20 Warszawa,Grażyna Michalczuk,228151126,przeglądaj
Mokotów,Gimnazjum Specjalne nr 109,Zespół Szkół Specjalnych nr 108,ul. św. Bonifacego 81 Warszawa,Maria Puchała,226515249,przeglądaj
Wawer,Gimnazjum Specjalne nr 110,"Młodzieżowy Ośrodek Socjoterapii nr 3 ""Dom na Trakcie"" im. prof. dr Stanisława Jedlewskiego",Trakt Lubelski 40 Warszawa,Małgorzata Jaroń,228729367,przeglądaj
Wawer,Gimnazjum Specjalne nr 111,Zespół Szkół Specjalnych nr 95,ul. Hafciarska 80/86 Warszawa,Jolanta Oknińska,228126045,przeglądaj
Rembertów,Gimnazjum Specjalne nr 129,Młodzieżowy Ośrodek Wychowawczy nr 2,ul. Strażacka 57 Warszawa,Monika Zdrzyłowska,226735094,przeglądaj
Mokotów,Gimnazjum Specjalne nr 134,Młodzieżowy Ośrodek Wychowawczy nr 4,ul. Dolna 19 Warszawa,Mariusz Sztyk,228412534,przeglądaj
Mokotów,Gimnazjum Specjalne nr 135,Zespół Szkół Specjalnych nr 99 im. Stefana Starzyńskiego,ul. Różana 22/24 Warszawa,Leokadia Ogonowska,228450571,przeglądaj
Mokotów,Gimnazjum Specjalne nr 136,Zespół Szkół Specjalnych nr 94 w Instytucie Reumatologii im. prof. dr hab. med. Eleonory Reicher,ul. Spartańska 1 Warszawa,Małgorzata Olczyk,228444241,przeglądaj
Mokotów,Gimnazjum Specjalne nr 137 w Instytucie Psychiatrii i Neurologii,Zespół Szkół Specjalnych nr 96 w Instytucie Psychiatrii i Neurologii,ul. Jana III Sobieskiego 9 Warszawa,Aneta Osowska,224582628,przeglądaj
Wawer,Gimnazjum Specjalne nr 138,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",ul. Zorzy 17 Warszawa,Łukasz Ługowski,226133576,przeglądaj
Mokotów,Gimnazjum Specjalne nr 139,Młodzieżowy Ośrodek Socjoterapii nr 1 SOS,ul. Wincentego Rzymowskiego 36 Warszawa,Beata Kojło-Boratyńska,226470116,przeglądaj
Wawer,Gimnazjum Specjalne nr 140,Młodzieżowy Ośrodek Wychowawczy nr 3 im. dr Grzegorza Maja,ul. Patriotów 90 Warszawa,Renata Chwedoruk,228729297,przeglądaj
Śródmieście,Gimnazjum Specjalne nr 146 im. Eunice Kennedy Shriver,Zespół Szkół Specjalnych nr 85,ul. Elektoralna 12/14 Warszawa,Agnieszka Tymińska,226205772,przeglądaj
Ochota,Gimnazjum Specjalne nr 148 w Samodzielnym Publicznym Dziecięcym Szpitalu Klinicznym,Zespół Szkół Specjalnych nr 87 w Samodzielnym Publicznym Dziecięcym Szpitalu Klinicznym,ul. Żwirki i Wigury 63A Warszawa,Anna Woźnica,223179405,przeglądaj
Wola,Gimnazjum Specjalne nr 149,Zespół Szkół Specjalnych nr 101,ul. Karolkowa 56 Warszawa,Stefan Podmokły,226322386,przeglądaj
Mokotów,Gimnazjum Specjalne nr 150,Gimnazjum Specjalne nr 150,ul. Różana 22/24 Warszawa,Artur Żuchowski,226354427,przeglądaj
Śródmieście,Gimnazjum Specjalne nr 151,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,ul. Koźmińska 7 Warszawa,Beata Kotowska,226291610,przeglądaj
Śródmieście,Gimnazjum Specjalne nr 152,Instytut Głuchoniemych im. Jakuba Falkowskiego,Plac Trzech Krzyży 4/6 Warszawa,Tadeusz Adamiec,226280431,przeglądaj
Śródmieście,Gimnazjum Specjalne nr 153,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących nr 15 im. Ottona Lipkowskiego,ul. Zakroczymska 6 Warszawa,Małgorzata Jastrzębska,228313200,przeglądaj
Bielany,Gimnazjum Specjalne nr 154,Zespół Placówek Opiekuńczo-Wychowawczych,Aleja Władysława Reymonta 16 Warszawa,Małgorzata Gontarek,228348684,przeglądaj
Mokotów,Gimnazjum Specjalne nr 155,Zespół Placówek Szkolno-Wychowawczo-Rewalidacyjnych nr 1,ul. Bełska 5 Warszawa,Jolanta Krzepicka,228485530,przeglądaj
Ochota,Gimnazjum Specjalne nr 161 im. dr Anny Lechowicz,Zespół Szkół Specjalnych nr 109,ul. Białobrzeska 44 Warszawa,Małgorzata Dońska-Olszko,226590561,przeglądaj
Praga Południe,Gimnazjum Specjalne nr 162,Młodzieżowy Ośrodek Socjoterapii nr 7,ul. Osowska 81 Warszawa,Robert Lisewski,225169820,przeglądaj
Wawer,Gimnazjum Specjalne nr 163,Młodzieżowy Ośrodek Socjoterapii nr 8,ul. Podmokła 4 Warszawa,Marzena Wolska,226152750,przeglądaj
Śródmieście,Gimnazjum Specjalne nr 62 im. Ireny Sendlerowej,Zespół Szkół Specjalnych nr 63,ul. Elektoralna 12/14 Warszawa,Celina Maszke-Kaczorek,226203931,przeglądaj
Wola,Gimnazjum Specjalne nr 64 im. Macieja Kozłowskiego,Młodzieżowy Ośrodek Socjoterapii nr 6,ul. Jana Brożka 26 Warszawa,Sławomir Kubicz,228361125,przeglądaj
Wola,Gimnazjum Specjalne nr 65 w Instytucie Matki i Dziecka,Zespół Szkół Specjalnych nr 104 w Instytucie Matki i Dziecka,ul. Marcina Kasprzaka 17A Warszawa,Agnieszka Żebrowska,223277365,przeglądaj
Żoliborz,Gimnazjum Specjalne nr 66,Zespół Szkół Specjalnych nr 100,ul. Stefana Czarnieckiego 49 Warszawa,Jadwiga Boguszewska,228392252,przeglądaj
Bielany,Gimnazjum Specjalne nr 67 w Szpitalu Bielańskim im. ks. Jerzego Popiełuszki Samodzielnym Publicznym Zakładzie Opieki Zdrowotnej,Zespół Szkół Specjalnych nr 93 w Szpitalu Bielańskim im. ks. Jerzego Popiełuszki Samodzielnym Publicznym Zakładzie Opieki Zdrowotnej,ul. Cegłowska 80 Warszawa,Anna Prokopowicz,225690449,przeglądaj
Praga Północ,Gimnazjum Specjalne nr 68,Zespół Szkół Specjalnych nr 97,ul. Tarchomińska 4 Warszawa,Ewa Warszewska,226190505,przeglądaj
Żoliborz,Gimnazjum Specjalne nr 87,Zespół Szkół Specjalnych nr 107,ul. Henryka Dembińskiego 1 Warszawa,Daniel Kamiński,223530109,przeglądaj
Żoliborz,Gimnazjum Specjalne nr 88,Specjalny Ośrodek Szkolno-Wychowawczy nr 9,ul. Jana Chryzostoma Paska 10 Warszawa,Elżbieta Darka,228332205,przeglądaj
Praga Południe,Gimnazjum Specjalne nr 97,Zespół Szkół Specjalnych nr 90,ul. Augustyna Kordeckiego 54 Warszawa,Danuta Wodyk-Wyczółkowska,226103421,przeglądaj
Ochota,Gimnazjum Specjalne nr 98,Zespół Szkół Specjalnych nr 92,ul. Szczęśliwicka 45/47 Warszawa,Elżbieta Nowakowska,228220642,przeglądaj
Praga Południe,Gimnazjum Specjalne nr 99 w Samodzielnym Zespole Publicznych Zakładów Opieki Zdrowotnej im. prof. dr. Jana Bogdanowicza,Zespół Szkół Specjalnych nr 86 w Samodzielnym Zespole Publicznych Zakładów Opieki Zdrowotnej im. prof. dr Jana Bogdanowicza,ul. Niekłańska 4/24 Warszawa,Alicja Kott,225098256,przeglądaj
Ochota,Gimnazjum Sportowe nr 17,Zespół Szkół nr 83,ul. Powstańców Wielkopolskich 4 Warszawa,Monika Mazanka,228226608,przeglądaj
Praga Południe,Gimnazjum Sportowe nr 21,Zespół Szkół nr 12 im. Olimpijczyków Polskich,ul. Siennicka 15 Warszawa,Barbara Mierzwa,222771416,przeglądaj
Śródmieście,Gimnazjum Sportowe nr 35 im. gen. Broni Władysława Andersa,Zespół Szkół Sportowych nr 72,ul. Konwiktorska 5/7 Warszawa,Anna Szymczyk,228316753,przeglądaj
Praga Północ,Gimnazjum Sportowe nr 57 im. Królowej Jadwigi,Zespół Szkół nr 45,ul. Jagiellońska 7 Warszawa,Bożena Ragus,226191468,przeglądaj
Bielany,Gimnazjum Sportowe nr 79,Zespół Szkół Sportowych nr 50 im. Janusza Kusocińskiego,ul. Samuela Bogumiła Lindego 20 Warszawa,Dorota Grabiec,228348658,przeglądaj
Mokotów,Gimnazjum Sportowe nr 8 im. Eugeniusza Lokajskiego,Zespół Szkół Sportowych nr 58,ul. Piaseczyńska 114/116 Warszawa,Halina Hajnosz,228416681,przeglądaj
Wawer,Gimnazjum z Oddziałami Dwujęzycznymi nr 104,Zespół Szkół nr 120,ul. Wilgi 19 Warszawa,Beata Scelina,226152606,przeglądaj
Ursus,Gimnazjum z Oddziałami Dwujęzycznymi nr 133 im. Księdza Stefana Kardynała Wyszyńskiego,Gimnazjum z Oddziałami Dwujęzycznymi nr 133 im. Księdza Stefana Kardynała Wyszyńskiego,ul. Warszawska 63 Warszawa,Elżbieta Nowicka,226670932,przeglądaj
Praga Południe,Gimnazjum z Oddziałami Dwujęzycznymi nr 18 im. Ignacego Jana Paderewskiego,Gimnazjum z Oddziałami Dwujęzycznymi nr 18 im. Ignacego Jana Paderewskiego,ul. Angorska 2 Warszawa,Grazyna Urbanowska,226175724,przeglądaj
Praga Południe,Gimnazjum z Oddziałami Dwujęzycznymi nr 19 im. Bolesława Prusa,Zespół Szkół nr 77,ul. Zwycięzców 7/9 Warszawa,Anna Naja,226177413,przeglądaj
Praga Południe,Gimnazjum z Oddziałami Dwujęzycznymi nr 25 im. Czesława Niemena,Zespół Szkół nr 84,ul. Zwycięzców 44 Warszawa,Anna Tkaczyk,226176328,przeglądaj
Bielany,Gimnazjum z Oddziałami Dwujęzycznymi nr 72 im. Antoniego Bolesława Dobrowolskiego,Gimnazjum z Oddziałami Dwujęzycznymi nr 72 im. Antoniego Bolesława Dobrowolskiego,ul. Stanisława Przybyszewskiego 45 Warszawa,Danuta Rozmus,228340673,przeglądaj
Bemowo,Gimnazjum z Oddziałami Dwujęzycznymi nr 83 im. Konstancji Markiewicz,Gimnazjum z Oddziałami Dwujęzycznymi nr 83 im. Konstancji Markiewicz,ul. Michała Elwira Andriollego 1 Warszawa,Wojciech Barański,226382455,przeglądaj
Ursynów,Gimnazjum z Oddziałami Dwujęzycznymi nr 93 im. Księżnej Izabeli Czartoryskiej,Gimnazjum z Oddziałami Dwujęzycznymi nr 93 im. Księżnej Izabeli Czartoryskiej,ul. Stefana Szolc-Rogozińskiego 2 Warszawa,Ewa Podpora,226432033,przeglądaj
Rembertów,Gimnazjum z Oddziałami Integracyjnymi nr 126 im. Bohaterów Westerplatte,Gimnazjum z Oddziałami Integracyjnymi nr 126 im. Bohaterów Westerplatte,"ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22 Warszawa",Dorota Jachnik,226119339,przeglądaj
Rembertów,Gimnazjum z Oddziałami Integracyjnymi nr 128 im. Marszałka Józefa Piłsudskiego,Zespół Szkół nr 76,ul. Dwóch Mieczy 5 Warszawa,Anna Posmyk,226119566,przeglądaj
Ochota,Gimnazjum z Oddziałami Integracyjnymi nr 14 im. Leopolda Staffa,Gimnazjum z Oddziałami Integracyjnymi nr 14 im. Leopolda Staffa,ul. Barska 32 Warszawa,Agata Jabłońska,228225876,przeglądaj
Praga Południe,Gimnazjum z Oddziałami Integracyjnymi nr 22 im. gen. Piotra Szembeka,Gimnazjum z Oddziałami Integracyjnymi nr 22 im. gen. Piotra Szembeka,ul. Boremlowska 6/12 Warszawa,Lilla Fota-Giedz,226105992,przeglądaj
Bemowo,Gimnazjum z Oddziałami Integracyjnymi nr 82 im. prof. Tadeusza Kotarbińskiego,Gimnazjum z Oddziałami Integracyjnymi nr 82 im. prof. Tadeusza Kotarbińskiego,ul. gen. Waleriana Czumy 8 Warszawa,Jolanta Komenda-Dziadukiewicz,226651438,przeglądaj
Ursynów,Gimnazjum z Oddziałami Integracyjnymi nr 95 im. Ignacego Jana Paderewskiego,Gimnazjum z Oddziałami Integracyjnymi nr 95 im. Ignacego Jana Paderewskiego,ul. Eugeniusza Lokajskiego 3 Warszawa,Elżbieta Skwirowska,228168001,przeglądaj
Żoliborz,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego 15 Warszawa,Andrzej Wyrozembski,228394813,przeglądaj
Śródmieście,II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego,Zespół Szkół nr 66,ul. Myśliwiecka 6 Warszawa,Barbara Kordas,226282101,przeglądaj
Mokotów,II Ogród Jordanowski,II Ogród Jordanowski,ul. Antoniego Edwarda Odyńca 6 Warszawa,Katarzyna Radomska,228440158,przeglądaj
Wola,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska 2 Warszawa,Grzegorz Mazur,226320753,przeglądaj
Ochota,III Ogród Jordanowski,III Ogród Jordanowski,ul. Wawelska 3 Warszawa,Justyna Olszewska,228251444,przeglądaj
Praga Południe,IV Liceum Ogólnokształcące im. Adama Mickiewicza,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska 59 Warszawa,Marzenna Zaworska,226178583,przeglądaj
Śródmieście,IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej,Zespół Szkół nr 125,ul. Hoża 88 Warszawa,Ryszard Raczyński,226280545,przeglądaj
Praga Północ,L Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Ruy Barbosy,Zespół Szkół nr 73,ul. Wenantego Burdzińskiego 4 Warszawa,Wiesław Włodarski,226192371,przeglądaj
Rembertów,LI Liceum Ogólnokształcące im. Tadeusza Kościuszki,LI Liceum Ogólnokształcące im. Tadeusza Kościuszki,ul. Kadrowa 9 Warszawa,Elżbieta Szepietowska-Paluch,226119391,przeglądaj
Bielany,LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta,Zespół Szkół nr 18,ul. Stefana Żeromskiego 81 Warszawa,Elżbieta Królak,228347201,przeglądaj
Śródmieście,LIII Liceum Ogólnokształcące dla Dorosłych,Centrum Kształcenia Ustawicznego nr 1,ul. Stanisława Noakowskiego 6 Warszawa,Ewa Ałasa,228256915,przeglądaj
Bielany,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,Zespół Szkół Sportowych nr 50 im. Janusza Kusocińskiego,ul. Samuela Bogumiła Lindego 20 Warszawa,Dorota Grabiec,228348658,przeglądaj
Ursus,LVI Liceum Ogólnokształcące im. Leona Kruczkowskiego,LVI Liceum Ogólnokształcące im. Leona Kruczkowskiego,ul. Dzieci Warszawy 42 Warszawa,Zdzisław Woźny,226626412,przeglądaj
Śródmieście,LVIII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,Zespół Szkół nr 23,ul. Górnośląska 31 Warszawa,Barbara Krakós,226211350,przeglądaj
Bielany,LX Liceum Ogólnokształcące im. Wojciecha Górskiego,Zespół Szkół nr 49,ul. Lwa Tołstoja 2 Warszawa,Urszula Krajewska,228359558,przeglądaj
Mokotów,LXI Liceum Ogólnokształcące Specjalne im. Janiny Zawadowskiej,Młodzieżowy Ośrodek Socjoterapii nr 1 SOS,ul. Wincentego Rzymowskiego 36 Warszawa,Beata Kojło-Boratyńska,226470116,przeglądaj
Śródmieście,LXII Liceum Ogólnokształcące Mistrzostwa Sportowego im. gen. Broni Władysława Andersa,Zespół Szkół Sportowych nr 72,ul. Konwiktorska 5/7 Warszawa,Anna Szymczyk,228316753,przeglądaj
Ursynów,LXIII Liceum Ogólnokształcące im. Lajosa Kossutha,LXIII Liceum Ogólnokształcące im. Lajosa Kossutha,ul. Ludwika Hirszfelda 11 Warszawa,Anna Jurek,226431077,przeglądaj
Żoliborz,"LXIV Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza ""Witkacego""",Zespół Szkół nr 54,ul. Elbląska 51 Warszawa,Beata Zdanowicz,226332404,przeglądaj
Ochota,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,Zespół Szkół nr 26,ul. Urbanistów 3 Warszawa,Roman Marciniak,228222031,przeglądaj
Mokotów,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,ul. Marynarska 2/6 Warszawa,Małgorzata Pucułek,228433713,przeglądaj
Śródmieście,LXVII Liceum Ogólnokształcące im. Jana Nowaka-Jeziorańskiego,LXVII Liceum Ogólnokształcące im. Jana Nowaka-Jeziorańskiego,ul. Hoża 11/15 Warszawa,Krzysztof Mirowski,226297063,przeglądaj
Mokotów,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,ul. Ludwika Narbutta 31 Warszawa,Anna Filipowska,226465276,przeglądaj
Ursynów,LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego,LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego,ul. Edwarda Dembowskiego 1 Warszawa,Anna Szumiec-Mitera,226418290,przeglądaj
Praga Południe,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,ul. Grochowska 346/348 Warszawa,Bożena Kozak,226191360,przeglądaj
Włochy,"LXXIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""","Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""",ul. Promienista 12a Warszawa,Małgorzata Michalska,228637304,przeglądaj
Śródmieście,LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego,Zespół Szkół nr 121,ul. Czerniakowska 128 Warszawa,Magdalena Kochel,228414945,przeglądaj
Praga Północ,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,ul. Kowelska 1 Warszawa,Izabela Nowak-Piłka,226193083,przeglądaj
Bemowo,LXXVIII Liceum Ogólnokształcące im. Marii Jasnorzewskiej Pawlikowskiej,LXXVIII Liceum Ogólnokształcące im. Marii Jasnorzewskiej Pawlikowskiej,ul. Anieli Krzywoń 3 Warszawa,Sebastian Pychyński,226644049,przeglądaj
Mokotów,LXXX Liceum Ogólnokształcące im. Leopolda Staffa,Zespół Szkół Licealnych i Technicznych nr 1,ul. Wiśniowa 56 Warszawa,Sławomir Kasprzak,226464499,przeglądaj
Śródmieście,LXXXI Liceum Ogólnokształcące im. Aleksandra Fredry,LXXXI Liceum Ogólnokształcące im. Aleksandra Fredry,ul. Miła 7 Warszawa,Joanna Kaleta-Szabłowska,228311454,przeglądaj
Śródmieście,LXXXIII Liceum Ogólnokształcące im. Emiliana Konopczyńskiego,Zespół Szkół nr 22 im. Emiliana Konopczyńskiego,ul. Emiliana Konopczyńskiego 4 Warszawa,Bożena Grzelewska,228264380,przeglądaj
Włochy,LXXXIV Liceum Ogólnokształcące im. Bohaterów Narwiku,Zespół Szkół im. Bohaterów Narwiku,ul. Gładka 16 Warszawa,Ryszard Szczepański,228460942,przeglądaj
Wawer,LXXXV Liceum Ogólnokształcące Specjalne,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",ul. Zorzy 17 Warszawa,Łukasz Ługowski,226133576,przeglądaj
Wola,"LXXXVI Liceum Ogólnokształcące im. Batalionu ""Zośka""","LXXXVI Liceum Ogólnokształcące im. Batalionu ""Zośka""",ul. Kajetana Garbińskiego 1 Warszawa,Katarzyna Zajączkowska,228364838,przeglądaj
Praga Południe,LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego,Zespół Szkół nr 21,ul. Saska 78 Warszawa,Marek Kupiecki,226173374,przeglądaj
Wola,LXXXVIII Liceum Ogólnokształcące im. Michała Konarskiego,Zespół Szkół im. Michała Konarskiego,ul. Okopowa 55a Warszawa,Małgorzata Pruszyńska,228386063,przeglądaj
Śródmieście,"Międzyszkolny Ośrodek Sportowy nr 1 ""Agrykola""",Warszawskie Centrum Sportu Młodzieżowego Agrykola,ul. Myśliwiecka 9 Warszawa,Mirosław Robak,226229107,przeglądaj
Praga Południe,Międzyszkolny Ośrodek Sportowy nr 2,Międzyszkolny Ośrodek Sportowy nr 2,ul. Wał Miedzeszyński 397 Warszawa,Sławomir Kalinowski,226178851,przeglądaj
Śródmieście,Międzyszkolny Ośrodek Sportowy nr 3 im. Janusza Kusocińskiego,Międzyszkolny Ośrodek Sportowy nr 3 im. Janusza Kusocińskiego,ul. Międzyparkowa 4 Warszawa,Marek Krzywicki,228311766,przeglądaj
Wola,Międzyszkolny Ośrodek Sportowy nr 6,Międzyszkolny Ośrodek Sportowy nr 6,ul. Rogalińska 2 Warszawa,Paweł Wasilewski,226314989,przeglądaj
Ochota,Międzyszkolny Ośrodek Sportowy nr 7,Międzyszkolny Ośrodek Sportowy nr 7,ul. Geodetów 1 Warszawa,Piotr Łukawski,228226607,przeglądaj
Śródmieście,Miejskie Biuro Finansów Oświaty m.st. Warszawy,Miejskie Biuro Finansów Oświaty m.st. Warszawy,ul. Mokotowska 55 Warszawa,Joanna Wiśniewska,226969015,przeglądaj
