Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Targówek,Technikum nr 11 im. Piotra Wysockiego,Zespół Szkół im. Piotra Wysockiego,ul. św. Jacka Odrowąża 75 Warszawa,Jolanta Malinowska-Bednarska,228110113,przeglądaj
Praga Południe,Technikum nr 12,Zespół Szkół nr 12 im. Olimpijczyków Polskich,ul. Siennicka 15 Warszawa,Barbara Mierzwa,222771416,przeglądaj
Praga Południe,Technikum nr 2 z Oddziałami Integracyjnymi,Zespół Szkół nr 5 im. Stefana Kisielewskiego,ul. Szczawnicka 1 Warszawa,Jan Pilczuk,228105423,przeglądaj
Praga Północ,Technikum nr 20,Zespół Szkół nr 11 im. Władysława Grabskiego,ul. Ratuszowa 13 Warszawa,Jan Grądzki,226193058,przeglądaj
Wola,Technikum nr 23 im. Fryderyka Skarbka,Zespół Szkół nr 32 im. Krzysztofa Kamila Baczyńskiego,ul. Ożarowska 71 Warszawa,Jolanta Pindelska,228364062,przeglądaj
Ochota,Technikum nr 24,Zespół Szkół nr 26,ul. Urbanistów 3 Warszawa,Roman Marciniak,228222031,przeglądaj
Bielany,Technikum nr 25 im. Stanisława Staszica,Zespół Szkół nr 10 im. Stanisława Staszica,ul. Włodzimierza Perzyńskiego 10 Warszawa,Ewa Gumieniak,228332868,przeglądaj
Wola,Technikum nr 26,Zespół Szkół im. Michała Konarskiego,ul. Okopowa 55a Warszawa,Małgorzata Pruszyńska,228386063,przeglądaj
Praga Południe,Technikum nr 27 im. prof. Józefa Zawadzkiego,Zespół Szkół nr 21,ul. Saska 78 Warszawa,Marek Kupiecki,226173374,przeglądaj
Wola,Technikum nr 29,Zespół Szkół Stenotypii i Języków Obcych,ul. Ogrodowa 16 Warszawa,Arkadiusz Olejniczak,226205051,przeglądaj
Wola,Technikum nr 3 im. Ludwika Krzywickiego,Zespół Szkół nr 7 im. Szczepana Bońkowskiego,ul. Chłodna 36/46 Warszawa,Paweł Mirecki,226209344,przeglądaj
Targówek,Technikum nr 30,Zespół Szkół nr 34 im. Mieszka I,ul. Mieszka I 7 Warszawa,Mieczysław Pietrucha,227442415,przeglądaj
Praga Północ,Technikum nr 6,Zespół Szkół nr 33,ul. Targowa 86 Warszawa,Marek Tomasiewicz,226193789,przeglądaj
Ochota,Technikum nr 7,"Zespół Szkół im. inż. Stanisława Wysockiego d. ""Kolejówka""",ul. Szczęśliwicka 56 Warszawa,Zbigniew Chałas,228223252,przeglądaj
Ursus,Technikum nr 8 im. Jana Karskiego,Zespół Szkół nr 42,ul. Dzieci Warszawy 42 Warszawa,Katarzyna Konczewska,226626281,przeglądaj
Włochy,Technikum nr 9 Lotnicze im. Bohaterów Narwiku,Zespół Szkół im. Bohaterów Narwiku,ul. Gładka 16 Warszawa,Ryszard Szczepański,228460942,przeglądaj
Mokotów,Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej,Zespół Szkół Odzieżowych Fryzjerskich i Kosmetycznych nr 22,ul. Kazimierzowska 60 Warszawa,Magdalena Jarosińska,228496218,przeglądaj
Mokotów,Technikum Ogrodnicze,Zespół Szkół nr 39 im. prof. Edmunda Jankowskiego,ul. Bełska 1/3 Warszawa,Dorota Nasierowska,228485386,przeglądaj
Śródmieście,Technikum Poligraficzne,Zespół Szkół Poligraficznych im. Marszałka Józefa Piłsudskiego,ul. Stawki 14 Warszawa,Izabela Grzegrzółka,228315261,przeglądaj
Ochota,Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,Zespół Szkół Samochodowych i Licealnych nr 1,ul. Szczęśliwicka 56 Warszawa,Bożena Stawarz,228240545,przeglądaj
Wola,Technikum Samochodowe nr 2 im. Czesława Orłowskiego,Zespół Szkół Samochodowych i Licealnych nr 2,Aleja Jana Pawła II 69 Warszawa,Tadeusz Wojciechowski,228380461,przeglądaj
Żoliborz,Technikum Samochodowe nr 3,Zespół Szkół Samochodowych i Licealnych nr 3 im. Ignacego Jana Paderewskiego,ul. Włościańska 35 Warszawa,Alicja Stańczyk,226633038,przeglądaj
Śródmieście,Technikum Specjalne nr 28,Instytut Głuchoniemych im. Jakuba Falkowskiego,Plac Trzech Krzyży 4/6 Warszawa,Tadeusz Adamiec,226280431,przeglądaj
Wola,Technikum Specjalne nr 31,Specjalny Ośrodek Szkolno-Wychowawczy dla Głuchych im. Jana Siestrzyńskiego,ul. Łucka 17/23 Warszawa,Anna Stopińska,226242891,przeglądaj
Praga Południe,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,Zespół Szkół Spożywczo-Gastronomicznych,ul. Komorska 17/23 Warszawa,Ewa Lada,226103588,przeglądaj
Praga Południe,Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego,Zespół Szkół nr 37 im. Agnieszki Osieckiej,Aleja Stanów Zjednoczonych 24 Warszawa,Alicja Puszkarska,228713576,przeglądaj
Śródmieście,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,ul. Nowolipie 8 Warszawa,Mirosław Sosnowski,228314804,przeglądaj
Wola,V Ogród Jordanowski,Zespół Wolskich Placówek Edukacji Kulturalnej,ul. Ludwiki 2/4 Warszawa,Magdalena Borucka,224991473,przeglądaj
Mokotów,VI Liceum Ogólnokształcące im. Tadeusza Reytana,Zespół Szkół nr 61 im. Tadeusza Reytana,ul. Wiktorska 30/32 Warszawa,Seweryn Szatkowski,228441368,przeglądaj
Ochota,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska 46 Warszawa,Agata Dowgird,228250553,przeglądaj
Praga Północ,VII Ogród Jordanowski,VII Ogród Jordanowski,ul. Namysłowska 21 Warszawa,Elżbieta Sobiecka,226198993,przeglądaj
Praga Północ,VIII Liceum Ogólnokształcące im. Władysława IV,Zespół Szkół nr 15,ul. Jagiellońska 38 Warszawa,Grażyna Filipiak,226192745,przeglądaj
Targówek,VIII Ogród Jordanowski,VIII Ogród Jordanowski,ul. Suwalska 13 Warszawa,Katarzyna Patrzyczna,228113988,przeglądaj
Śródmieście,Warszawskie Centrum Innowacji Edukacyjno-Społecznych i Szkoleń,Warszawskie Centrum Innowacji Edukacyjno-Społecznych i Szkoleń,ul. Stara 4 Warszawa,Arkadiusz Walczak,226280179,przeglądaj
Mokotów,X Liceum Ogólnokształcące im. Królowej Jadwigi,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza 8 Warszawa,Ewa Burzyk,228540910,przeglądaj
Wola,XCII Liceum Ogólnokształcące z Oddziałami Integracyjnymi,Zespół Szkół nr 32 im. Krzysztofa Kamila Baczyńskiego,ul. Ożarowska 71 Warszawa,Jolanta Pindelska,228364062,przeglądaj
Bielany,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,Zespół Szkół nr 55 im. gen. Stanisława Maczka,ul. Gwiaździsta 35 Warszawa,Anna Pawłowska,228330258,przeglądaj
Praga Południe,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,ul. Fundamentowa 38/42 Warszawa,Bożena Gromadzka,226719927,przeglądaj
Praga Południe,XCVI Liceum Ogólnokształcące im. A. Osieckiej,Zespół Szkół nr 37 im. Agnieszki Osieckiej,Aleja Stanów Zjednoczonych 24 Warszawa,Alicja Puszkarska,228713576,przeglądaj
Praga Południe,XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich,Zespół Szkół nr 12 im. Olimpijczyków Polskich,ul. Siennicka 15 Warszawa,Barbara Mierzwa,222771416,przeglądaj
Śródmieście,XI Liceum Ogólnokształcące im. Mikołaja Reja,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego 1 Warszawa,Arkadiusz Krużyński,228286315,przeglądaj
Wola,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,ul. Sienna 53 Warszawa,Elżbieta Wysmołek,226208260,przeglądaj
Targówek,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,ul. Oszmiańska 23/25 Warszawa,Ewa Kotarska-Pogorzelska,226793862,przeglądaj
Ochota,XIV Liceum Ogólnokształcące im. Stanisława Staszica,Zespół Szkół nr 82,ul. Nowowiejska 37a Warszawa,Regina Lewkowicz,228251325,przeglądaj
Praga Południe,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,ul. Zbaraska 1 Warszawa,Anna Piekarska,228103829,przeglądaj
